Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price,Negotiable
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,105739,Riyadh,26800,FALSE
Nissan,Sunny,2019,Saudi,White,Standard,1.5,Gas,Automatic,Used,55526,Riyadh,27500,FALSE
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,98659,Riyadh,27500,FALSE
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,Used,95623,Riyadh,27500,FALSE
Hyundai,Elantra,2019,Saudi,Grey,Semi Full,1.6,Gas,Automatic,Used,86000,Dammam,54000,FALSE
Toyota,Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,Used,128000,Jeddah,32000,FALSE
Nissan,Patrol,1992,Saudi,White,Standard,4.6,Gas,Manual,Used,357000,Dammam,27000,FALSE
Ferrari,GTB 599 Fiorano,2008,Saudi,Red,Full,6,Gas,Automatic,Used,59000,Dammam,280000,FALSE
Chevrolet,Suburban,2015,Other,Black,Full,5.3,Gas,Automatic,Used,189000,Riyadh,Negotiable,TRUE
Mercedes,CLA,2020,Other,Black,Full,,Gas,Automatic,Used,15000,Riyadh,410000,FALSE
Mercedes,E,2017,Gulf Arabic,White,Full,2,Gas,Automatic,Used,98000,Dammam,210000,FALSE
Hyundai,Accent,2019,Saudi,White,Standard,1.4,Gas,Automatic,Used,101000,Jeddah,37000,FALSE
Mazda,CX9,2017,Other,Grey,Full,2.5,Gas,Automatic,Used,93000,Dammam,111000,FALSE
Genesis,Royal,2015,Saudi,Red,Full,3.8,Gas,Automatic,Used,194000,Riyadh,85000,FALSE
Toyota,Corolla,2015,Saudi,Silver,Standard,1.6,Gas,Automatic,Used,176277,Dammam,37000,FALSE
Kia,Picanto,2015,Saudi,Another Color,Standard,1,Gas,Automatic,Used,133000,Al-Medina,18500,FALSE
Great Wall,Power,2021,Saudi,White,Full,2,Gas,Automatic,Used,4000,Al-Medina,95000,FALSE
Nissan,Datsun,2015,Saudi,White,Full,,Gas,Manual,Used,212000,Riyadh,42000,FALSE
Jaguar,F-Pace,2018,Saudi,White,Full,2.5,Gas,Automatic,Used,70000,Jeddah,145000,FALSE
Toyota,Hilux,2016,Saudi,White,Full,2.7,Gas,Manual,Used,28000,Dammam,95000,FALSE
Toyota,Furniture,2019,Saudi,White,Standard,2.7,Gas,Automatic,Used,113000,Riyadh,105000,FALSE
Toyota,FJ,2017,Saudi,White,Full,4,Gas,Automatic,Used,144000,Makkah,Negotiable,TRUE
Ford,Expedition,2016,Saudi,White,Full,3.5,Gas,Automatic,Used,104000,Dammam,95000,FALSE
Honda,Accord,2019,Gulf Arabic,Silver,Full,1.5,Gas,Automatic,Used,8200,Dammam,107000,FALSE
Chevrolet,Suburban,2001,Other,Grey,Semi Full,,Gas,Automatic,Used,500000,Riyadh,15000,FALSE
Ford,Explorer,2016,Gulf Arabic,Red,Full,,Gas,Automatic,Used,93000,Riyadh,95000,FALSE
Toyota,Land Cruiser,2015,Saudi,White,Full,5.7,Gas,Automatic,Used,242,Hail,Negotiable,TRUE
Toyota,Land Cruiser 70,1982,Saudi,Another Color,Standard,,Gas,Manual,Used,200000,Makkah,Negotiable,TRUE
Toyota,Land Cruiser,2016,Saudi,White,Full,5.7,Gas,Automatic,Used,64731,Riyadh,Negotiable,TRUE
Lexus,LX,2020,Gulf Arabic,Black,Full,5.7,Gas,Automatic,Used,27000,Riyadh,418000,FALSE
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,Used,120496,Riyadh,40800,FALSE
Hyundai,Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,Used,120244,Riyadh,43000,FALSE
Hyundai,Accent,2014,Saudi,Black,Standard,1.4,Gas,Automatic,Used,101231,Riyadh,21500,FALSE
